time,delay
1061,0
482,0
3244,0
741,0
502,0
3268,0
721,0
3239,0
6485,0
6469,0
3238,0
3281,0
6422,0
3271,0
6528,0
3279,0
3240,0
3255,0
6441,0
3243,0
3343,0
6451,0
3278,0
3267,0
6427,0
6417,0
3243,0
6464,0
3233,0
3267,0
3239,0
1523,100
4034,100
4260,100
4163,100
5213,100
4160,100
4138,100
4090,100
4200,100
3946,100
3912,100
3864,100
3895,100
3848,100
4033,100
4077,100
3964,100
3920,100
3914,100
3869,100
3958,100
3985,100
4050,100
4420,100
4555,100
3952,100
4098,100
3902,100
3913,100
4019,100
3982,100
2567,200
4406,200
4451,200
4341,200
4495,200
5535,200
5029,200
4696,200
4477,200
4417,200
4314,200
4541,200
4368,200
4446,200
4338,200
4320,200
4761,200
4865,200
4332,200
4836,200
4480,200
4624,200
4560,200
4348,200
4390,200
4362,200
4433,200
4406,200
4402,200
4328,200
4426,200
3830,300
6425,300
6445,300
6472,300
6690,300
6542,300
6452,300
6391,300
6544,300
6654,300
6772,300
6454,300
6530,300
6705,300
6564,300
6741,300
6571,300
6458,300
6539,300
6799,300
6495,300
6787,300
6489,300
6892,300
6540,300
6507,300
6757,300
6454,300
6515,300
6414,300
6434,300
4956,400
8725,400
8785,400
8522,400
8584,400
8690,400
8604,400
8535,400
8524,400
8645,400
8583,400
8548,400
8721,400
9059,400
8535,400
8654,400
8701,400
8547,400
8652,400
8690,400
8569,400
8687,400
8536,400
8631,400
8637,400
8517,400
8533,400
8574,400
8614,400
8606,400
8845,400
6065,500
6646,500
10602,500
10711,500
6718,500
10896,500
10848,500
10713,500
6671,500
10886,500
11015,500
10749,500
10657,500
6748,500
10649,500
6685,500
10597,500
6627,500
6992,500
6983,500
7208,500
10662,500
10584,500
10697,500
6576,500
10609,500
6962,500
10847,500
6625,500
10634,500
6646,500
